# t x y z vx vy vz E_kin E_pot E_tot
0.00000 -6.26407e-01 1.11552e-03 -7.54195e-18 6.66134e+06 9.61732e+03 -1.58227e-10 2.02108e-17 -1.22032e-16 -1.01821e-16
0.00000 -6.19715e-01 1.12514e-03 -7.70188e-18 6.72155e+06 9.62604e+03 -1.61472e-10 2.05778e-17 -1.22399e-16 -1.01821e-16
0.00000 -6.12964e-01 1.13477e-03 -7.86724e-18 6.78166e+06 9.63563e+03 -1.67547e-10 2.09475e-17 -1.22768e-16 -1.01821e-16
0.00000 -6.06152e-01 1.14441e-03 -8.03501e-18 6.84164e+06 9.64613e+03 -1.66857e-10 2.13197e-17 -1.23140e-16 -1.01821e-16
0.00000 -5.99281e-01 1.15406e-03 -8.20145e-18 6.90150e+06 9.65758e+03 -1.68368e-10 2.16944e-17 -1.23515e-16 -1.01821e-16
0.00000 -5.92349e-01 1.16373e-03 -8.36949e-18 6.96121e+06 9.67001e+03 -1.68904e-10 2.20714e-17 -1.23892e-16 -1.01821e-16
0.00000 -5.85358e-01 1.17340e-03 -8.54051e-18 7.02077e+06 9.68346e+03 -1.73198e-10 2.24507e-17 -1.24271e-16 -1.01821e-16
0.00000 -5.78308e-01 1.18309e-03 -8.71534e-18 7.08016e+06 9.69797e+03 -1.77515e-10 2.28321e-17 -1.24653e-16 -1.01821e-16
0.00000 -5.71198e-01 1.19280e-03 -8.89451e-18 7.13937e+06 9.71358e+03 -1.82348e-10 2.32156e-17 -1.25036e-16 -1.01821e-16
0.00000 -5.64029e-01 1.20252e-03 -9.07747e-18 7.19839e+06 9.73033e+03 -1.81718e-10 2.36010e-17 -1.25422e-16 -1.01821e-16
0.00000 -5.56801e-01 1.21226e-03 -9.26104e-18 7.25720e+06 9.74825e+03 -1.83920e-10 2.39882e-17 -1.25809e-16 -1.01821e-16
0.00000 -5.49515e-01 1.22202e-03 -9.44799e-18 7.31578e+06 9.76741e+03 -1.91801e-10 2.43771e-17 -1.26198e-16 -1.01821e-16
0.00000 -5.42170e-01 1.23180e-03 -9.64522e-18 7.37413e+06 9.78782e+03 -2.00589e-10 2.47675e-17 -1.26588e-16 -1.01821e-16
0.00000 -5.34766e-01 1.24159e-03 -9.84777e-18 7.43223e+06 9.80955e+03 -2.03180e-10 2.51593e-17 -1.26980e-16 -1.01821e-16
0.00000 -5.27305e-01 1.25141e-03 -1.00476e-17 7.49006e+06 9.83264e+03 -1.95205e-10 2.55523e-17 -1.27373e-16 -1.01821e-16
0.00000 -5.19786e-01 1.26126e-03 -1.02438e-17 7.54761e+06 9.85712e+03 -1.95379e-10 2.59465e-17 -1.27767e-16 -1.01821e-16
0.00000 -5.12210e-01 1.27113e-03 -1.04408e-17 7.60485e+06 9.88305e+03 -1.98516e-10 2.63415e-17 -1.28162e-16 -1.01821e-16
0.00000 -5.04577e-01 1.28103e-03 -1.06418e-17 7.66178e+06 9.91048e+03 -2.01473e-10 2.67374e-17 -1.28558e-16 -1.01821e-16
0.00000 -4.96887e-01 1.29095e-03 -1.08443e-17 7.71836e+06 9.93944e+03 -2.04400e-10 2.71338e-17 -1.28955e-16 -1.01821e-16
0.00000 -4.89140e-01 1.30091e-03 -1.10456e-17 7.77459e+06 9.96999e+03 -1.97750e-10 2.75306e-17 -1.29351e-16 -1.01821e-16
0.00000 -4.81338e-01 1.31089e-03 -1.12425e-17 7.83045e+06 1.00022e+04 -1.97162e-10 2.79276e-17 -1.29748e-16 -1.01821e-16
0.00000 -4.73479e-01 1.32091e-03 -1.14427e-17 7.88591e+06 1.00361e+04 -2.03579e-10 2.83246e-17 -1.30145e-16 -1.01821e-16
0.00000 -4.65566e-01 1.33096e-03 -1.16471e-17 7.94096e+06 1.00717e+04 -2.06402e-10 2.87214e-17 -1.30542e-16 -1.01821e-16
0.00000 -4.57598e-01 1.34105e-03 -1.18531e-17 7.99557e+06 1.01091e+04 -2.04024e-10 2.91178e-17 -1.30939e-16 -1.01821e-16
0.00000 -4.49575e-01 1.35118e-03 -1.20606e-17 8.04973e+06 1.01483e+04 -2.09567e-10 2.95136e-17 -1.31334e-16 -1.01821e-16
0.00000 -4.41498e-01 1.36135e-03 -1.22731e-17 8.10340e+06 1.01894e+04 -2.13368e-10 2.99085e-17 -1.31729e-16 -1.01821e-16
0.00000 -4.33368e-01 1.37156e-03 -1.24887e-17 8.15658e+06 1.02324e+04 -2.19896e-10 3.03023e-17 -1.32123e-16 -1.01821e-16
0.00000 -4.25185e-01 1.38182e-03 -1.27095e-17 8.20923e+06 1.02774e+04 -2.22437e-10 3.06948e-17 -1.32516e-16 -1.01821e-16
0.00000 -4.16950e-01 1.39212e-03 -1.29329e-17 8.26134e+06 1.03245e+04 -2.23939e-10 3.10857e-17 -1.32906e-16 -1.01821e-16
0.00000 -4.08663e-01 1.40247e-03 -1.31593e-17 8.31287e+06 1.03736e+04 -2.30037e-10 3.14747e-17 -1.33295e-16 -1.01821e-16
0.00000 -4.00325e-01 1.41287e-03 -1.33907e-17 8.36381e+06 1.04249e+04 -2.32083e-10 3.18616e-17 -1.33682e-16 -1.01821e-16
0.00000 -3.91936e-01 1.42332e-03 -1.36248e-17 8.41413e+06 1.04783e+04 -2.36685e-10 3.22462e-17 -1.34067e-16 -1.01821e-16
0.00000 -3.83497e-01 1.43382e-03 -1.38618e-17 8.46381e+06 1.05339e+04 -2.37895e-10 3.26281e-17 -1.34449e-16 -1.01821e-16
0.00000 -3.75008e-01 1.44439e-03 -1.40977e-17 8.51281e+06 1.05918e+04 -2.34444e-10 3.30070e-17 -1.34828e-16 -1.01821e-16
0.00000 -3.66471e-01 1.45501e-03 -1.43338e-17 8.56112e+06 1.06520e+04 -2.40891e-10 3.33827e-17 -1.35203e-16 -1.01821e-16
0.00000 -3.57886e-01 1.46569e-03 -1.45770e-17 8.60871e+06 1.07146e+04 -2.45490e-10 3.37548e-17 -1.35576e-16 -1.01821e-16
0.00000 -3.49254e-01 1.47644e-03 -1.48255e-17 8.65555e+06 1.07795e+04 -2.49136e-10 3.41231e-17 -1.35944e-16 -1.01821e-16
0.00000 -3.40575e-01 1.48725e-03 -1.50761e-17 8.70161e+06 1.08469e+04 -2.51224e-10 3.44873e-17 -1.36308e-16 -1.01821e-16
0.00000 -3.31851e-01 1.49813e-03 -1.53285e-17 8.74687e+06 1.09168e+04 -2.54695e-10 3.48470e-17 -1.36668e-16 -1.01821e-16
0.00000 -3.23082e-01 1.50908e-03 -1.55854e-17 8.79130e+06 1.09892e+04 -2.62266e-10 3.52019e-17 -1.37023e-16 -1.01821e-16
0.00000 -3.14269e-01 1.52011e-03 -1.58486e-17 8.83487e+06 1.10641e+04 -2.64053e-10 3.55517e-17 -1.37372e-16 -1.01821e-16
0.00000 -3.05412e-01 1.53121e-03 -1.61158e-17 8.87755e+06 1.11415e+04 -2.70375e-10 3.58960e-17 -1.37717e-16 -1.01821e-16
0.00000 -2.96514e-01 1.54240e-03 -1.63842e-17 8.91933e+06 1.12216e+04 -2.66408e-10 3.62346e-17 -1.38055e-16 -1.01821e-16
0.00000 -2.87574e-01 1.55366e-03 -1.66509e-17 8.96016e+06 1.13043e+04 -2.66100e-10 3.65671e-17 -1.38388e-16 -1.01821e-16
