# t x y z vx vy vz E_kin E_pot E_tot
0.00000 8.81690e-01 1.21093e-01 -6.10367e-02 3.63113e+07 -3.24665e+07 1.62074e+07 1.20028e-15 -2.69801e-15 -1.49773e-15
0.00000 9.17266e-01 8.86108e-02 -4.48214e-02 3.48442e+07 -3.24964e+07 1.62225e+07 1.15384e-15 -2.65157e-15 -1.49773e-15
0.00000 9.51387e-01 5.61025e-02 -2.85929e-02 3.34012e+07 -3.25188e+07 1.62339e+07 1.10982e-15 -2.60755e-15 -1.49773e-15
0.00000 9.84076e-01 2.35763e-02 -1.23552e-02 3.19815e+07 -3.25319e+07 1.62406e+07 1.06803e-15 -2.56576e-15 -1.49773e-15
0.00000 1.01536e+00 -8.95779e-03 3.88661e-03 3.05842e+07 -3.25344e+07 1.62421e+07 1.02831e-15 -2.52604e-15 -1.49773e-15
0.00000 1.04525e+00 -4.14886e-02 2.01270e-02 2.92086e+07 -3.25252e+07 1.62377e+07 9.90506e-16 -2.48823e-15 -1.49773e-15
0.00000 1.07378e+00 -7.40041e-02 3.63599e-02 2.78540e+07 -3.25035e+07 1.62271e+07 9.54498e-16 -2.45223e-15 -1.49773e-15
0.00000 1.10097e+00 -1.06491e-01 5.25790e-02 2.65199e+07 -3.24686e+07 1.62099e+07 9.20172e-16 -2.41790e-15 -1.49773e-15
0.00000 1.12683e+00 -1.38937e-01 6.87774e-02 2.52059e+07 -3.24201e+07 1.61859e+07 8.87428e-16 -2.38516e-15 -1.49773e-15
0.00000 1.15138e+00 -1.71327e-01 8.49485e-02 2.39114e+07 -3.23578e+07 1.61550e+07 8.56176e-16 -2.35390e-15 -1.49773e-15
0.00000 1.17466e+00 -2.03648e-01 1.01085e-01 2.26360e+07 -3.22815e+07 1.61172e+07 8.26334e-16 -2.32406e-15 -1.49773e-15
0.00000 1.19666e+00 -2.35885e-01 1.17181e-01 2.13794e+07 -3.21912e+07 1.60723e+07 7.97831e-16 -2.29556e-15 -1.49773e-15
0.00000 1.21742e+00 -2.68025e-01 1.33227e-01 2.01412e+07 -3.20867e+07 1.60204e+07 7.70599e-16 -2.26833e-15 -1.49773e-15
0.00000 1.23695e+00 -3.00054e-01 1.49219e-01 1.89209e+07 -3.19684e+07 1.59616e+07 7.44579e-16 -2.24231e-15 -1.49773e-15
0.00000 1.25527e+00 -3.31957e-01 1.65148e-01 1.77183e+07 -3.18362e+07 1.58958e+07 7.19713e-16 -2.21744e-15 -1.49773e-15
0.00000 1.27239e+00 -3.63722e-01 1.81008e-01 1.65330e+07 -3.16903e+07 1.58232e+07 6.95951e-16 -2.19368e-15 -1.49773e-15
0.00000 1.28834e+00 -3.95333e-01 1.96792e-01 1.53646e+07 -3.15309e+07 1.57439e+07 6.73247e-16 -2.17097e-15 -1.49773e-15
0.00000 1.30313e+00 -4.26779e-01 2.12494e-01 1.42127e+07 -3.13583e+07 1.56580e+07 6.51555e-16 -2.14928e-15 -1.49773e-15
0.00000 1.31677e+00 -4.58046e-01 2.28106e-01 1.30771e+07 -3.11726e+07 1.55655e+07 6.30837e-16 -2.12856e-15 -1.49773e-15
0.00000 1.32929e+00 -4.89120e-01 2.43623e-01 1.19573e+07 -3.09741e+07 1.54667e+07 6.11054e-16 -2.10878e-15 -1.49773e-15
0.00000 1.34069e+00 -5.19990e-01 2.59037e-01 1.08530e+07 -3.07631e+07 1.53615e+07 5.92171e-16 -2.08990e-15 -1.49773e-15
0.00000 1.35100e+00 -5.50642e-01 2.74344e-01 9.76377e+06 -3.05398e+07 1.52503e+07 5.74156e-16 -2.07188e-15 -1.49773e-15
0.00000 1.36022e+00 -5.81065e-01 2.89536e-01 8.68936e+06 -3.03044e+07 1.51330e+07 5.56978e-16 -2.05471e-15 -1.49773e-15
0.00000 1.36838e+00 -6.11247e-01 3.04608e-01 7.62938e+06 -3.00571e+07 1.50098e+07 5.40610e-16 -2.03834e-15 -1.49773e-15
0.00000 1.37549e+00 -6.41176e-01 3.19554e-01 6.58345e+06 -2.97982e+07 1.48807e+07 5.25024e-16 -2.02275e-15 -1.49773e-15
0.00000 1.38155e+00 -6.70840e-01 3.34367e-01 5.55124e+06 -2.95279e+07 1.47460e+07 5.10196e-16 -2.00792e-15 -1.49773e-15
0.00000 1.38659e+00 -7.00228e-01 3.49044e-01 4.53237e+06 -2.92463e+07 1.46057e+07 4.96104e-16 -1.99383e-15 -1.49773e-15
0.00000 1.39062e+00 -7.29329e-01 3.63577e-01 3.52651e+06 -2.89537e+07 1.44598e+07 4.82725e-16 -1.98045e-15 -1.49773e-15
0.00000 1.39365e+00 -7.58131e-01 3.77962e-01 2.53331e+06 -2.86503e+07 1.43085e+07 4.70040e-16 -1.96777e-15 -1.49773e-15
0.00000 1.39569e+00 -7.86626e-01 3.92192e-01 1.55241e+06 -2.83361e+07 1.41519e+07 4.58031e-16 -1.95576e-15 -1.49773e-15
0.00000 1.39676e+00 -8.14800e-01 4.06264e-01 5.83480e+05 -2.80114e+07 1.39900e+07 4.46679e-16 -1.94441e-15 -1.49773e-15
0.00000 1.39686e+00 -8.42645e-01 4.20171e-01 -3.73823e+05 -2.76762e+07 1.38229e+07 4.35969e-16 -1.93370e-15 -1.49773e-15
0.00000 1.39602e+00 -8.70149e-01 4.33908e-01 -1.31983e+06 -2.73307e+07 1.36506e+07 4.25886e-16 -1.92361e-15 -1.49773e-15
0.00000 1.39423e+00 -8.97303e-01 4.47470e-01 -2.25487e+06 -2.69749e+07 1.34732e+07 4.16416e-16 -1.91414e-15 -1.49773e-15
0.00000 1.39151e+00 -9.24096e-01 4.60852e-01 -3.17927e+06 -2.66090e+07 1.32907e+07 4.07548e-16 -1.90528e-15 -1.49773e-15
0.00000 1.38787e+00 -9.50517e-01 4.74050e-01 -4.09334e+06 -2.62329e+07 1.31031e+07 3.99268e-16 -1.89700e-15 -1.49773e-15
0.00000 1.38333e+00 -9.76558e-01 4.87057e-01 -4.99740e+06 -2.58466e+07 1.29105e+07 3.91568e-16 -1.88930e-15 -1.49773e-15
0.00000 1.37788e+00 -1.00221e+00 4.99869e-01 -5.89176e+06 -2.54503e+07 1.27128e+07 3.84438e-16 -1.88217e-15 -1.49773e-15
0.00000 1.37155e+00 -1.02746e+00 5.12481e-01 -6.77671e+06 -2.50439e+07 1.25101e+07 3.77869e-16 -1.87560e-15 -1.49773e-15
0.00000 1.36433e+00 -1.05229e+00 5.24887e-01 -7.65254e+06 -2.46274e+07 1.23024e+07 3.71854e-16 -1.86958e-15 -1.49773e-15
0.00000 1.35624e+00 -1.07671e+00 5.37084e-01 -8.51955e+06 -2.42007e+07 1.20895e+07 3.66386e-16 -1.86411e-15 -1.49773e-15
0.00000 1.34730e+00 -1.10069e+00 5.49065e-01 -9.37801e+06 -2.37638e+07 1.18716e+07 3.61461e-16 -1.85919e-15 -1.49773e-15
0.00000 1.33749e+00 -1.12423e+00 5.60825e-01 -1.02282e+07 -2.33166e+07 1.16485e+07 3.57073e-16 -1.85480e-15 -1.49773e-15
0.00000 1.32684e+00 -1.14732e+00 5.72360e-01 -1.10704e+07 -2.28590e+07 1.14202e+07 3.53219e-16 -1.85095e-15 -1.49773e-15
0.00000 1.31535e+00 -1.16995e+00 5.83664e-01 -1.19048e+07 -2.23908e+07 1.11866e+07 3.49897e-16 -1.84762e-15 -1.49773e-15
0.00000 1.30303e+00 -1.19210e+00 5.94731e-01 -1.27317e+07 -2.19119e+07 1.09477e+07 3.47105e-16 -1.84483e-15 -1.49773e-15
0.00000 1.28989e+00 -1.21377e+00 6.05557e-01 -1.35514e+07 -2.14222e+07 1.07034e+07 3.44842e-16 -1.84257e-15 -1.49773e-15
0.00000 1.27593e+00 -1.23494e+00 6.16136e-01 -1.43640e+07 -2.09214e+07 1.04535e+07 3.43108e-16 -1.84084e-15 -1.49773e-15
0.00000 1.26117e+00 -1.25560e+00 6.26463e-01 -1.51699e+07 -2.04093e+07 1.01980e+07 3.41905e-16 -1.83963e-15 -1.49773e-15
0.00000 1.24560e+00 -1.27575e+00 6.36531e-01 -1.59691e+07 -1.98857e+07 9.93680e+06 3.41235e-16 -1.83896e-15 -1.49773e-15
0.00000 1.22923e+00 -1.29537e+00 6.46334e-01 -1.67620e+07 -1.93503e+07 9.66966e+06 3.41102e-16 -1.83883e-15 -1.49773e-15
0.00000 1.21207e+00 -1.31445e+00 6.55868e-01 -1.75487e+07 -1.88028e+07 9.39648e+06 3.41509e-16 -1.83924e-15 -1.49773e-15
0.00000 1.19413e+00 -1.33297e+00 6.65125e-01 -1.83294e+07 -1.82429e+07 9.11710e+06 3.42464e-16 -1.84019e-15 -1.49773e-15
0.00000 1.17542e+00 -1.35093e+00 6.74100e-01 -1.91043e+07 -1.76702e+07 8.83133e+06 3.43971e-16 -1.84170e-15 -1.49773e-15
0.00000 1.15593e+00 -1.36831e+00 6.82786e-01 -1.98735e+07 -1.70843e+07 8.53897e+06 3.46040e-16 -1.84377e-15 -1.49773e-15
0.00000 1.13567e+00 -1.38510e+00 6.91176e-01 -2.06372e+07 -1.64848e+07 8.23983e+06 3.48679e-16 -1.84641e-15 -1.49773e-15
0.00000 1.11466e+00 -1.40127e+00 6.99263e-01 -2.13956e+07 -1.58713e+07 7.93366e+06 3.51900e-16 -1.84963e-15 -1.49773e-15
0.00000 1.09288e+00 -1.41683e+00 7.07041e-01 -2.21486e+07 -1.52431e+07 7.62021e+06 3.55714e-16 -1.85344e-15 -1.49773e-15
0.00000 1.07036e+00 -1.43176e+00 7.14501e-01 -2.28966e+07 -1.45999e+07 7.29922e+06 3.60134e-16 -1.85786e-15 -1.49773e-15
0.00000 1.04709e+00 -1.44603e+00 7.21636e-01 -2.36394e+07 -1.39410e+07 6.97038e+06 3.65177e-16 -1.86290e-15 -1.49773e-15
0.00000 1.02308e+00 -1.45963e+00 7.28439e-01 -2.43773e+07 -1.32657e+07 6.63337e+06 3.70858e-16 -1.86859e-15 -1.49773e-15
0.00000 9.98339e-01 -1.47255e+00 7.34900e-01 -2.51102e+07 -1.25734e+07 6.28787e+06 3.77196e-16 -1.87492e-15 -1.49773e-15
0.00000 9.72864e-01 -1.48477e+00 7.41012e-01 -2.58381e+07 -1.18633e+07 5.93348e+06 3.84212e-16 -1.88194e-15 -1.49773e-15
0.00000 9.46664e-01 -1.49627e+00 7.46764e-01 -2.65611e+07 -1.11346e+07 5.56980e+06 3.91928e-16 -1.88966e-15 -1.49773e-15
0.00000 9.19744e-01 -1.50704e+00 7.52148e-01 -2.72791e+07 -1.03864e+07 5.19641e+06 4.00370e-16 -1.89810e-15 -1.49773e-15
0.00000 8.92108e-01 -1.51704e+00 7.57154e-01 -2.79919e+07 -9.61786e+06 4.81282e+06 4.09564e-16 -1.90729e-15 -1.49773e-15
0.00000 8.63761e-01 -1.52626e+00 7.61770e-01 -2.86996e+07 -8.82785e+06 4.41853e+06 4.19541e-16 -1.91727e-15 -1.49773e-15
